Date : 2022-10-21 19:43:33
Directory : /Users/chris/Keplux/flamingo/src
Total : 130 files,  5252 codes, 214 comments, 624 blanks, all 6090 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/chris/Keplux/flamingo/src/screens/auth/AuthScreen.tsx                                          | TypeScript React |         34 |          0 |          4 |         38 |
| /Users/chris/Keplux/flamingo/src/screens/auth/EmailConfirmationScreen/EmailConfirmationScreen.spec.ts | TypeScript       |          0 |          0 |          1 |          1 |
| /Users/chris/Keplux/flamingo/src/screens/auth/EmailConfirmationScreen/EmailConfirmationScreen.tsx     | TypeScript React |         53 |          0 |          4 |         57 |
| /Users/chris/Keplux/flamingo/src/screens/auth/ForgetPassword.tsx                                      | TypeScript React |        108 |          7 |          6 |        121 |
| /Users/chris/Keplux/flamingo/src/screens/auth/IDVerification.tsx                                      | TypeScript React |        131 |          0 |         12 |        143 |
| /Users/chris/Keplux/flamingo/src/screens/auth/PhotoVerification.tsx                                   | TypeScript React |         59 |          0 |          4 |         63 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignInScreen/SignInScreen.schema.ts                     | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignInScreen/SignInScreen.service.ts                    | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignInScreen/SignInScreen.tsx                           | TypeScript React |        147 |          0 |         12 |        159 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignUpScreen/SignUpScreen.schema.ts                     | TypeScript       |          5 |          4 |          2 |         11 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignUpScreen/SignUpScreen.service.ts                    | TypeScript       |         16 |          0 |          3 |         19 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignUpScreen/SignUpScreen.spec.ts                       | TypeScript       |          0 |          0 |          1 |          1 |
| /Users/chris/Keplux/flamingo/src/screens/auth/SignUpScreen/SignUpScreen.tsx                           | TypeScript React |         92 |          6 |          9 |        107 |
| /Users/chris/Keplux/flamingo/src/screens/auth/Verification.tsx                                        | TypeScript React |         90 |          0 |         13 |        103 |
| /Users/chris/Keplux/flamingo/src/screens/main/Community.tsx                                           | TypeScript React |         54 |          0 |          6 |         60 |
| /Users/chris/Keplux/flamingo/src/screens/main/EditProfile.tsx                                         | TypeScript React |         43 |          0 |          4 |         47 |
| /Users/chris/Keplux/flamingo/src/screens/main/NearbyUsers.tsx                                         | TypeScript React |         47 |          3 |          5 |         55 |
| /Users/chris/Keplux/flamingo/src/screens/main/PhotoAlbum.tsx                                          | TypeScript React |        162 |          0 |         10 |        172 |
| /Users/chris/Keplux/flamingo/src/screens/main/Profile.tsx                                             | TypeScript React |         51 |          0 |          9 |         60 |
| /Users/chris/Keplux/flamingo/src/screens/main/Settings.tsx                                            | TypeScript React |         52 |          3 |          5 |         60 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/DateOfBirthSetup.tsx                                 | TypeScript React |         74 |          0 |         12 |         86 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/GenderSetup.tsx                                      | TypeScript React |         69 |          2 |          8 |         79 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/NewProfileStart.tsx                                  | TypeScript React |         19 |          0 |          3 |         22 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/NewUserSetup.tsx                                     | TypeScript React |         74 |          1 |          6 |         81 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/PersonalInfoSetup.tsx                                | TypeScript React |         52 |          0 |          5 |         57 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/PersonalityTypeSetup.tsx                             | TypeScript React |         49 |          0 |          7 |         56 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/PronounsSetup.tsx                                    | TypeScript React |         47 |          0 |          7 |         54 |
| /Users/chris/Keplux/flamingo/src/screens/newUser/SexualOrientationSetup.tsx                           | TypeScript React |         47 |          0 |          7 |         54 |
| /Users/chris/Keplux/flamingo/src/screens/utils/Loading.tsx                                            | TypeScript React |         15 |          0 |          2 |         17 |
| /Users/chris/Keplux/flamingo/src/services/auth.service.ts                                             | TypeScript       |         53 |          0 |          6 |         59 |
| /Users/chris/Keplux/flamingo/src/services/google-places.service.ts                                    | TypeScript       |         12 |          0 |          4 |         16 |
| /Users/chris/Keplux/flamingo/src/services/profiles.service.ts                                         | TypeScript       |         19 |          5 |          2 |         26 |
| /Users/chris/Keplux/flamingo/src/styles/color.ts                                                      | TypeScript       |         34 |          0 |          3 |         37 |
| /Users/chris/Keplux/flamingo/src/styles/spacing.ts                                                    | TypeScript       |          8 |          0 |          1 |          9 |
| /Users/chris/Keplux/flamingo/src/styles/theme.ts                                                      | TypeScript       |         38 |          0 |          3 |         41 |
| /Users/chris/Keplux/flamingo/src/types/auth/AuthScreen.ts                                             | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/chris/Keplux/flamingo/src/types/auth/NewProfileScreenProps.ts                                  | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/chris/Keplux/flamingo/src/types/core/ToggleListProps.ts                                        | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/chris/Keplux/flamingo/src/types/core/accordionMenuItemProps.ts                                 | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/chris/Keplux/flamingo/src/types/core/camera/CameraProps.ts                                     | TypeScript       |          7 |          0 |          2 |          9 |
| /Users/chris/Keplux/flamingo/src/types/core/photoProps.ts                                             | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/chris/Keplux/flamingo/src/types/core/profileProps.ts                                           | TypeScript       |         15 |          0 |          1 |         16 |
| /Users/chris/Keplux/flamingo/src/types/index.ts                                                       | TypeScript       |          8 |          0 |          1 |          9 |
| /Users/chris/Keplux/flamingo/src/types/navigation/authStack/verifyIdScreen.ts                         | TypeScript       |          9 |          0 |          3 |         12 |
| /Users/chris/Keplux/flamingo/src/types/navigation/mainStack/albumViewerScreen.ts                      | TypeScript       |         10 |          0 |          3 |         13 |
| /Users/chris/Keplux/flamingo/src/types/navigation/mainStack/editProfileScreen.ts                      | TypeScript       |         10 |          0 |          3 |         13 |
| /Users/chris/Keplux/flamingo/src/types/navigation/mainStack/photoAlbumScreen.ts                       | TypeScript       |         10 |          0 |          3 |         13 |
| /Users/chris/Keplux/flamingo/src/types/navigation/mainStack/profileScreen.ts                          | TypeScript       |          9 |          0 |          3 |         12 |
| /Users/chris/Keplux/flamingo/src/types/navigation/mainTabs/settingsTab.ts                             | TypeScript       |         13 |          0 |          4 |         17 |
| /Users/chris/Keplux/flamingo/src/types/navigation/stacks.ts                                           | TypeScript       |         14 |          0 |          2 |         16 |
| /Users/chris/Keplux/flamingo/src/validation/index.ts                                                  | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/chris/Keplux/flamingo/src/validation/profileGeneralSchema.ts                                   | TypeScript       |         36 |          0 |          3 |         39 |
| Total                                                                                                 |                  |      5,252 |        214 |        624 |      6,090 |
+-------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
